SNID,RA,DEC,zHEL,TYPE
1305276,34.147736,-5.271104,0.2539,None
1305308,34.507683,-5.548003,0.69112,None
1305350,35.931988,-7.177485,0.49382,None
1305409,35.23764,-6.930228,0.62066,None
1305486,36.366768,-5.072262,0.9004,None
1305504,36.058437,-5.164576,0.49679,None
1305541,36.642719,-5.560069,0.83438,None
1305626,35.654617,-4.133254,0.3268,None
1305687,41.293858,-0.700321,0.62859,None
1305756,53.49535,-26.872685,0.27638,None
1305785,9.893359,-44.83342,0.47431,None
1305807,9.613655,-43.922909,0.5711,None
1305835,10.065388,-44.370457,0.34291,None
1305873,53.60075,-27.665558,0.60153,None
1305946,34.408314,-5.219437,0.648,None
1306059,36.378788,-4.75279,0.6076,None
1306067,55.089386,-28.779875,0.7228,None
1306073,36.850643,-3.749355,0.32964,None
1306110,36.22152,-3.822196,0.60994,None
1306141,54.897774,-28.910761,0.33286,None
1306360,53.676712,-26.486982,0.45534,None
1306366,42.248135,-0.5031,0.15145,None
1306378,43.755081,-0.032459,0.36195,None
1306390,43.316361,-0.030057,0.41009,None
1306423,43.18811,-0.886169,0.44739,None
1306578,6.868335,-43.11655,0.4215,None
1306626,54.877281,-27.238987,0.4214,None
1306736,54.920952,-27.748051,0.552,None
1306980,7.036068,-43.291557,0.54789,None
1306986,7.867339,-42.875576,0.44916,None
1306991,8.468144,-42.094757,0.42306,None
1307261,36.624493,-4.003188,0.70487,None
1307277,41.738815,-0.235549,0.41216,None
1307748,52.049801,-28.052624,0.52589,None
1307783,52.687191,-27.469523,0.7413,None
1307830,53.294464,-27.957768,0.36,None
1307843,52.784645,-28.720318,0.9222,None
1308314,53.415611,-28.940748,0.407,None
1308326,42.270138,0.582344,0.32717,None
1308357,41.335754,-1.191918,0.34255,None
1308453,36.880295,-3.961907,0.75712,None
1308529,35.844116,-3.992856,0.72352,None
1308568,33.873203,-5.052549,0.64442,None
1308582,37.137245,-4.372774,0.36812,None
1308589,52.369988,-28.462507,0.68643,None
1308916,55.022717,-27.152811,0.4382,None
1309013,35.46611,-7.339985,0.21358,None
1309051,36.498627,-6.211551,0.59756,None
1309215,51.672638,-28.323961,0.77536,None
1309227,53.180794,-28.452227,0.92649,None
1309288,54.644871,-29.194429,0.26838,None
1309293,53.945625,-28.4842,0.33521,None
1309323,54.588749,-28.808949,0.48362,None
1309330,54.249947,-28.739609,0.34521,None
1309376,54.044079,-28.000813,0.74073,None
1309492,53.30085,-28.024872,0.33403,None
1309509,52.968662,-27.248074,0.96373,None
1309551,6.474001,-42.907005,0.65259,None
1309694,10.949914,-44.054592,0.45456,None
1309696,9.208918,-43.436115,0.81086,None
1309870,53.223663,-28.214186,1.01459,None
1309874,10.337526,-43.967869,0.27092,None
1309982,53.747498,-28.159517,1.0822,None
1310073,42.482502,-0.870355,0.62819,None
1310182,41.571674,-0.728,0.4972,None
1310236,40.617313,-0.716034,0.69211,None
1310294,33.549397,-4.695845,0.44089,None
1310303,34.642025,-4.796791,0.6967,None
1310304,34.108864,-5.040257,0.6702,None
1310367,34.742241,-6.718639,0.23433,None
1310396,35.060249,-6.052929,0.32358,None
1310432,36.299637,-6.359507,0.29574,None
1310475,35.053261,-6.472534,0.66511,None
1310485,35.259174,-6.395768,0.43429,None
1310916,54.773846,-28.236921,0.67983,None
1310963,54.152069,-29.405451,0.45971,None
1310964,54.153732,-29.384672,0.7521,None
1311001,52.423546,-28.055479,0.63159,None
1311113,52.737068,-28.15786,0.61596,None
1311151,53.16959,-27.660196,0.6783,None
1311247,8.020238,-43.909603,0.44288,None
1311394,9.57238,-43.26154,0.34389,None
1311496,41.871059,-0.689306,0.69188,None
1311590,34.435017,-4.415624,0.5604,None
1311631,34.010941,-4.718192,0.64177,None
1311632,34.689858,-5.072332,0.42538,None
1311755,35.604141,-4.257723,0.4722,None
1311884,36.810276,-5.181068,0.68269,None
1311903,36.761498,-4.012285,0.72049,None
1311921,36.541004,-4.254859,1.046,None
1312164,9.05475,-43.600414,0.52438,None
1312171,9.662512,-43.906895,0.50151,None
1312213,42.488152,0.097255,0.40797,None
1312274,42.610977,-0.361718,0.42551,None
1312818,54.390797,-27.473509,0.72355,None
1312821,54.080181,-26.989931,0.66183,None
1312897,35.710095,-4.423516,0.28683,None
1313026,54.246273,-28.631817,0.53752,None
1313057,51.647163,-28.021414,0.33809,None
1313177,7.632814,-42.948551,0.6362,None
1313230,8.482974,-42.698265,0.21883,None
1313434,9.894674,-43.140526,0.69194,None
1313572,40.727997,-0.686762,0.70256,None
1313594,34.832935,-5.789424,0.2894,None
1313698,34.80579,-4.187763,0.43738,None
1314047,36.422497,-3.849453,0.45813,None
1314067,36.691063,-4.824906,0.43479,None
1314071,36.619381,-4.036044,0.32813,None
1314162,36.859489,-4.183014,0.58267,None
1314296,36.887184,-5.107933,0.70561,None
1314317,36.596672,-5.312144,0.78807,None
1314554,43.578911,0.298071,0.35253,None
1314581,42.559647,-0.941775,0.57562,None
1314709,54.872791,-26.824076,0.66048,None
1314847,37.032578,-4.63398,0.52173,None
1314897,36.606628,-4.15516,0.33769,None
1315191,42.135696,0.282034,0.58471,None
1315192,42.985901,-0.523071,0.228,None
1315197,42.266838,0.116706,0.2091,None
1315259,40.864075,-1.603645,0.22896,None
1315296,40.301579,-0.764383,0.41363,None
1315570,53.304596,-28.793222,0.61334,None
1315795,55.123661,-27.53853,0.37862,None
1315806,53.461903,-27.387539,0.6959,None
1315818,54.610172,-27.541802,0.55274,None
1315832,54.635643,-28.21982,0.62968,None
1315890,8.336865,-42.88525,0.56815,None
1315910,8.21452,-43.092964,0.39468,None
1315947,52.611511,-28.142117,0.73849,None
1315950,53.294762,-27.957275,0.36,None
1315974,52.041798,-28.777035,0.81246,None
1316385,53.525982,-27.632116,0.14784,None
1316461,52.5812,-28.748646,0.61047,None
1316465,52.797485,-27.959307,0.32961,None
1316487,53.016926,-28.068274,0.77696,None
1316626,51.751804,-28.53587,0.61667,None
1316701,42.271179,-0.307162,0.36213,None
1316831,35.06509,-4.223419,0.43966,None
1316853,34.174473,-5.504423,0.69445,None
1316989,33.797825,-4.744645,0.55474,None
1317164,34.285484,-4.298173,0.15555,None
1317277,35.903149,-5.481456,0.2381,None
1317372,35.43557,-4.616712,0.74535,None
1317496,7.306658,-42.116722,0.64554,None
1317526,35.957142,-3.998674,0.43276,None
1317612,6.856408,-42.850411,0.10525,None
1317666,36.771053,-5.003092,0.14227,None
1317724,37.337296,-4.721333,0.4689,None
1317783,43.108246,0.702585,0.39534,None
1317956,36.107071,-4.745373,0.87068,None
1318052,52.429531,-28.082205,0.48127,None
1318126,8.34096,-44.36068,0.37397,None
1318158,10.231592,-43.545994,0.78733,None
1318235,41.573536,-0.517377,0.36101,None
1318266,8.878596,-44.726379,0.40726,None
1318304,40.449429,-0.408047,0.39869,None
1318460,41.573971,-0.670669,0.36704,None
1318659,55.06517,-29.327721,0.42403,None
1318661,55.129459,-28.489935,0.34498,None
1318689,53.997543,-29.956009,0.49392,None
1318847,43.538132,-0.611697,0.66107,None
1319058,33.944771,-4.610791,0.66951,None
1319066,54.948837,-28.900408,0.33449,None
1319366,41.495522,-1.088128,0.23572,None
1319539,41.114441,-1.589903,0.37277,None
1319653,53.468807,-27.335157,0.59613,None
1319667,54.432255,-26.69668,0.67818,None
1319711,36.472687,-4.849677,0.2427,None
1319776,54.931976,-26.508509,0.6604,None
1319821,53.357853,-29.471891,0.30929,None
1319840,53.651352,-28.86657,0.49025,None
1319870,54.921398,-28.315712,0.26812,None
1319898,53.264488,-28.849997,0.72925,None
