CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD
2001ah,48,63,1,0.05776,0.00001,0.05837,0.00001,0.05886,0.00088,-138.06,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.02,0.17,0.99,-999.00,52006.9609,0.5770,1.5227,0.4264,-0.0367,0.0197,17.4172,0.0400,17.8399,1.9369E-03,7.1276E-05,0.0012,-0.0000,-0.0000,24,0.8911,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.1631,0.1344,0.0000,-0.0444,1.0000,0.0032
2001ay,135,63,1,0.03025,0.00001,0.03093,0.00001,0.03085,0.00086,24.84,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.63,0.10,1.16,-999.00,52024.2031,0.3673,2.2595,0.2015,0.1729,0.0205,16.4234,0.0302,16.3732,4.8379E-03,1.3473E-04,0.0002,-0.0000,-0.0000,25,0.2511,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.6964,0.1741,0.0000,-0.1067,1.0000,0.0201
2001az,153,63,1,0.04069,0.00009,0.04059,0.00009,0.04101,0.00087,-120.83,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.52,0.08,1.31,-999.00,52031.8359,0.7532,1.0685,0.4271,-0.0522,0.0204,16.7311,0.0324,17.1236,3.6437E-03,1.0859E-04,0.0041,0.0000,-0.0000,19,0.9769,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.4468,0.0979,0.0000,-0.0392,1.0000,0.0033
2001eh,49,63,1,0.03713,0.00016,0.03627,0.00016,0.03725,0.00088,-283.42,250.00,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.97,0.20,1.34,-999.00,52169.8945,0.3932,1.5684,0.1740,-0.0172,0.0145,16.3921,0.0199,16.7646,4.9791E-03,9.1191E-05,-0.0001,0.0000,-0.0000,41,0.8053,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0879,0.1099,0.0000,-0.0479,1.0000,0.0052
2002bf,110,63,1,0.02438,0.00001,0.02494,0.00001,0.02525,0.00085,-91.72,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.58,0.14,1.29,-999.00,52338.5508,0.8279,-2.3418,0.3537,-0.1144,0.0876,15.7745,0.1545,15.7884,8.7940E-03,1.2512E-03,0.0216,-0.0003,-0.0001,9,0.9748,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.1116,0.1442,0.0000,-0.0152,1.0000,0.0029
2002he,14,63,1,0.02441,0.00008,0.02469,0.00008,0.02519,0.00086,-146.36,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.15,0.37,1.62,-999.00,52586.0938,0.1231,-1.5875,0.2336,-0.0220,0.0297,16.0251,0.0482,15.9267,6.9819E-03,3.1003E-04,0.0045,-0.0001,-0.0000,28,0.9909,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.2499,0.1249,0.0000,-0.0695,1.0000,0.0050
2002hu,133,63,1,0.03670,0.00100,0.03591,0.00100,0.03705,0.00132,-326.81,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.46,0.23,1.03,-999.00,52592.6602,0.1608,0.4639,0.1413,-0.0522,0.0151,16.4135,0.0192,16.7169,4.8821E-03,8.6496E-05,0.0008,-0.0000,-0.0000,39,0.9378,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0401,0.0973,0.0000,-0.0471,1.0000,0.0033
2003U,195,63,1,0.02810,0.00000,0.02794,0.00000,0.02833,0.00086,-113.64,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.42,0.12,0.75,-999.00,52677.4180,0.1913,-2.0367,0.4769,-0.0130,0.0335,16.2490,0.0458,16.0499,5.6808E-03,2.3942E-04,0.0089,-0.0001,-0.0000,13,0.9980,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.3731,0.1363,0.0000,-0.0694,1.0000,0.0056
2003ch,93,63,1,0.02833,0.00012,0.02895,0.00012,0.02919,0.00087,-71.23,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.74,0.12,1.45,-999.00,52726.0469,0.3198,-1.2541,0.1750,-0.0279,0.0180,16.4464,0.0250,16.4097,4.7362E-03,1.0902E-04,-0.0001,0.0000,-0.0000,19,0.1901,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7330,0.1171,0.0000,-0.0594,1.0000,0.0046
2003fa,136,63,1,0.04039,0.00012,0.04015,0.00012,0.04056,0.00088,-119.78,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.83,0.20,1.06,-999.00,52807.4727,0.0961,1.5622,0.1286,-0.0173,0.0153,16.4822,0.0202,16.8535,4.5828E-03,8.5128E-05,0.0008,-0.0000,-0.0000,63,0.9978,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.1767,0.1037,0.0000,-0.0472,1.0000,0.0050
