SNID,RA,DEC,zHEL,TYPE
06D2bk,149.679,2.172,0.499,None
350374,131.336,44.239,0.5,None
1337272,34.1284,-5.6806,0.504,None
030006,162.525,58.7774,0.502,None
510457,186.389,48.1369,0.502,None
03D1au,36.0432,-4.0375,0.5043,None
1335472,9.5553,-44.0495,0.50705,None
1343759,51.979,-28.5644,0.50677,None
310091,353.126,-0.1047,0.509,None
05D4av,333.544,-17.9119,0.509,None
090201,353.328,-0.9507,0.51,None
180313,244.319,55.3794,0.51,None
110484,129.186,44.5547,0.51,None
05D2dy,150.242,2.1831,0.51,None
04D4in,333.786,-17.261,0.516,None
04D2mj,150.152,2.5771,0.513,None
1338430,40.6393,-1.2547,0.5183,None
1334470,35.0537,-4.9472,0.52,None
310260,36.1689,-5.1043,0.52,None
450175,53.2864,-28.0844,0.52,None
06D3el,214.255,52.2324,0.519,None
04D2gc,150.414,1.8831,0.521,None
1295921,42.6149,-0.8718,0.525,None
1322229,35.9264,-4.0189,0.52736,None
050005,211.812,53.9976,0.5279,None
1322979,52.0693,-28.0637,0.53,None
330106,130.009,43.7419,0.53,None
160066,186.588,46.5959,0.53,None
1338471,41.2916,-1.5649,0.53228,None
1337703,54.8836,-26.7243,0.53281,None
06D2ca,149.79,2.3025,0.531,None
06D2cc,149.862,2.4514,0.532,None
05D4ek,334.115,-17.7363,0.536,None
05D4be,334.222,-17.2361,0.537,None
1289656,54.3017,-27.3554,0.54,None
110426,130.013,44.8943,0.54,None
1324542,53.8952,-29.048,0.5421,None
520041,184.138,45.962,0.5443,None
04D4bq,333.706,-17.8276,0.55,None
1306980,7.0361,-43.2916,0.55,None
050201,241.703,54.9809,0.55,None
06D4bo,333.867,-17.4092,0.552,None
1339450,53.621,-29.169,0.55105,None
04D3hn,215.529,52.2286,0.552,None
06D2ck,150.367,1.8636,0.552,None
1337117,10.1815,-43.6449,0.555,None
05D1ee,36.1948,-4.0005,0.559,None
05D1kl,36.1397,-4.319,0.56,None
04D1hx,36.1771,-4.7903,0.56,None
1289555,40.7331,-1.3929,0.56289,None
1303952,35.8718,-6.9219,0.56387,None
05D1cc,36.6299,-4.1648,0.564,None
1285317,9.4725,-43.3145,0.56555,None
1330903,41.1163,-0.645,0.56544,None
1338278,34.43,-4.976,0.5656,None
1317454,8.0244,-42.6662,0.57,None
1306785,33.7937,-4.5222,0.57667,None
05D2dt,150.35,1.8577,0.574,None
050203,242.793,55.1223,0.576,None
06D3et,215.52,52.3384,0.576,None
1337228,7.5248,-43.0341,0.57858,None
03D4gf,333.596,-17.734,0.58,None
110721,130.216,44.1143,0.5773,None
05D1dx,36.9458,-4.0325,0.58,None
1332059,40.8651,-1.2774,0.58,None
05D3jq,215.439,53.0299,0.579,None
05D3gp,215.676,52.7247,0.58,None
03D1aw,36.0616,-4.5172,0.582,None
04D1jg,36.5523,-4.1348,0.5842,None
05D4ej,333.969,-18.1957,0.585,None
04D1kj,36.9694,-4.1803,0.585,None
04D1sa,36.984,-4.1761,0.585,None
1338387,40.4513,-0.3686,0.585,None
05D1hm,36.9426,-4.7173,0.587,None
05D4bf,334.11,-18.2321,0.589,None
03D4gg,334.168,-18.1645,0.592,None
04D2mh,149.941,2.141,0.59,None
05D3lr,215.551,53.1843,0.6,None
1338233,35.1227,-5.5293,0.60279,None
05D4ef,333.497,-18.2123,0.605,None
1335564,35.1281,-6.4465,0.6075,None
03D4dy,333.711,-17.9565,0.61,None
1302141,7.8305,-42.5014,0.61,None
1332413,36.2749,-5.853,0.61,None
05D2he,150.361,2.3177,0.608,None
04D3do,214.442,52.2676,0.61,None
04D4an,333.988,-17.6955,0.613,None
1295305,36.2434,-4.2509,0.613,None
05D1ck,36.1035,-4.7128,0.617,None
1308957,35.1339,-6.624,0.62,None
1335868,55.0891,-26.5127,0.62,None
000202,150.539,1.8992,0.618,None
04D3co,214.458,52.9636,0.62,None
03D4dh,334.379,-17.6297,0.627,None
04D4fx,334.159,-18.0664,0.629,None
05D1cb,36.7377,-4.1176,0.632,None
05D2ci,150.008,2.2159,0.63,None
03D4at,333.6,-17.7767,0.634,None
1330642,37.0406,-4.0471,0.63521,None
04D1pu,36.8686,-4.7449,0.639,None
1343871,43.5025,-0.3703,0.639,None
05D4ag,333.448,-18.1653,0.64,None
1337325,35.135,-4.6525,0.64,None
1334879,52.4089,-28.2164,0.64,None
