CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
2001ah,48.0,63.0,1.0,0.05776,1e-05,0.05837,1e-05,0.05886,0.00088,-138.06,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.02,0.17,0.99,-999.0,52006.9609,0.577,1.5227,0.4264,-0.0367,0.0197,17.4172,0.04,17.8399,0.0019369,7.1276e-05,0.0012,-0.0,-0.0,24.0,0.8911,-9.0,-9.0,-9.0,-9.0,-9.0,37.1631,0.1344,0.0,-0.0444,1.0,0.0032,,,,,,,,,,,,,,,,,
2001ay,135.0,63.0,1.0,0.03025,1e-05,0.03093,1e-05,0.03085,0.00086,24.84,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.63,0.1,1.16,-999.0,52024.2031,0.3673,2.2595,0.2015,0.1729,0.0205,16.4234,0.0302,16.3732,0.0048379,0.00013473,0.0002,-0.0,-0.0,25.0,0.2511,-9.0,-9.0,-9.0,-9.0,-9.0,35.6964,0.1741,0.0,-0.1067,1.0,0.0201,,,,,,,,,,,,,,,,,
2001az,153.0,63.0,1.0,0.04069,9e-05,0.04059,9e-05,0.04101,0.00087,-120.83,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.52,0.08,1.31,-999.0,52031.8359,0.7532,1.0685,0.4271,-0.0522,0.0204,16.7311,0.0324,17.1236,0.0036437,0.00010859,0.0041,0.0,-0.0,19.0,0.9769,-9.0,-9.0,-9.0,-9.0,-9.0,36.4468,0.0979,0.0,-0.0392,1.0,0.0033,SN Ia,,2001az,248.62033195,76.02970274,0.040688,0.043598624467849734,9.546044832721655,-0.9286544586621368,-10.538910042942911,7.554069219422769,0.583208929632269,10.730523433487246,0.5684033615819531,-10.164398239058036,7.520494549915421,0.587446662966159
2001eh,49.0,63.0,1.0,0.03713,0.00016,0.03627,0.00016,0.03725,0.00088,-283.42,250.0,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.97,0.2,1.34,-999.0,52169.8945,0.3932,1.5684,0.174,-0.0172,0.0145,16.3921,0.0199,16.7646,0.0049791,9.1191e-05,-0.0001,0.0,-0.0,41.0,0.8053,-9.0,-9.0,-9.0,-9.0,-9.0,36.0879,0.1099,0.0,-0.0479,1.0,0.0052,,,,,,,,,,,,,,,,,
2002bf,110.0,63.0,1.0,0.02438,1e-05,0.02494,1e-05,0.02525,0.00085,-91.72,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.58,0.14,1.29,-999.0,52338.5508,0.8279,-2.3418,0.3537,-0.1144,0.0876,15.7745,0.1545,15.7884,0.008794,0.0012512,0.0216,-0.0003,-0.0001,9.0,0.9748,-9.0,-9.0,-9.0,-9.0,-9.0,35.1116,0.1442,0.0,-0.0152,1.0,0.0029,SN Ia,,2002bf,153.92606526,55.66748568,0.02437596,0.009624880123883486,9.997040422181335,-0.9256217784364048,-10.907365834550907,7.957052001275077,0.5841142549275055,10.786676974854176,0.14138462411634697,-10.667979569470086,8.483658764796806,0.5715159105188373
2002he,14.0,63.0,1.0,0.02441,8e-05,0.02469,8e-05,0.02519,0.00086,-146.36,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.15,0.37,1.62,-999.0,52586.0938,0.1231,-1.5875,0.2336,-0.022,0.0297,16.0251,0.0482,15.9267,0.0069819,0.00031003,0.0045,-0.0001,-0.0,28.0,0.9909,-9.0,-9.0,-9.0,-9.0,-9.0,35.2499,0.1249,0.0,-0.0695,1.0,0.005,,,,,,,,,,,,,,,,,
2002hu,133.0,63.0,1.0,0.0367,0.001,0.03591,0.001,0.03705,0.00132,-326.81,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.46,0.23,1.03,-999.0,52592.6602,0.1608,0.4639,0.1413,-0.0522,0.0151,16.4135,0.0192,16.7169,0.0048821,8.6496e-05,0.0008,-0.0,-0.0,39.0,0.9378,-9.0,-9.0,-9.0,-9.0,-9.0,36.0401,0.0973,0.0,-0.0471,1.0,0.0033,,,,,,,,,,,,,,,,,
2003U,195.0,63.0,1.0,0.0281,0.0,0.02794,0.0,0.02833,0.00086,-113.64,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.42,0.12,0.75,-999.0,52677.418,0.1913,-2.0367,0.4769,-0.013,0.0335,16.249,0.0458,16.0499,0.0056808,0.00023942,0.0089,-0.0001,-0.0,13.0,0.998,-9.0,-9.0,-9.0,-9.0,-9.0,35.3731,0.1363,0.0,-0.0694,1.0,0.0056,SN Ia,,2003U,260.68255972,62.16609039,0.02829885,0.025581450834870338,8.70800939253809,-1.6922034636400907,-10.417246730217101,6.88678440766132,0.5912368022227118,10.655982990259105,0.455873502185952,-10.195245403726693,7.776826323364778,0.5771712469571814
2003ch,93.0,63.0,1.0,0.02833,0.00012,0.02895,0.00012,0.02919,0.00087,-71.23,250.0,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.74,0.12,1.45,-999.0,52726.0469,0.3198,-1.2541,0.175,-0.0279,0.018,16.4464,0.025,16.4097,0.0047362,0.00010902,-0.0001,0.0,-0.0,19.0,0.1901,-9.0,-9.0,-9.0,-9.0,-9.0,35.733,0.1171,0.0,-0.0594,1.0,0.0046,SN Ia,,2003ch,109.48977772,9.68932273,0.02862,0.06044633015990257,9.096351761817438,-1.1635819381525978,-10.298475566398821,7.8659428745542535,0.5905410507160674,10.995614825468424,-0.9532727026837786,-11.951738341689158,10.454020908505292,0.5692915292830536
2003fa,136.0,63.0,1.0,0.04039,0.00012,0.04015,0.00012,0.04056,0.00088,-119.78,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.83,0.2,1.06,-999.0,52807.4727,0.0961,1.5622,0.1286,-0.0173,0.0153,16.4822,0.0202,16.8535,0.0045828,8.5128e-05,0.0008,-0.0,-0.0,63.0,0.9978,-9.0,-9.0,-9.0,-9.0,-9.0,36.1767,0.1037,0.0,-0.0472,1.0,0.005,,,,,,,,,,,,,,,,,
