SNID,RA,DEC,zHEL,TYPE
1927203,54.053337,-26.959662,0.68132,None
1927242,10.18268,-43.410336,0.24666,None
1927254,53.746296,-28.37928,0.5815,None
1928108,37.023087,-5.016444,0.6521,None
1928157,35.089123,-5.697155,0.54505,None
1929022,54.778015,-26.572331,0.7542,None
1929024,53.819077,-27.822889,0.31613,None
1929034,53.499516,-26.843517,0.60889,None
1929063,8.102139,-43.557648,0.223,None
1929216,34.72572,-4.049554,0.33695,None
1933035,8.857088,-42.933727,0.34204,None
1933168,54.590649,-28.045193,0.43547,None
1933196,54.314098,-29.233385,0.75074,None
1933258,43.302986,-0.345597,0.6909,None
1934253,52.328941,-28.770075,0.538,None
1934353,34.403465,-4.35755,0.51441,None
1936125,52.954872,-28.32342,0.89603,None
1936171,54.335171,-28.637129,0.47389,None
1936215,43.189312,0.60002,0.61124,None
1936293,52.39399,-28.687922,0.8324,None
1936353,35.91943,-6.49506,0.6929,None
1937078,34.742367,-4.688433,0.45645,None
1942106,54.805519,-29.841822,0.56638,None
1943111,52.310192,-27.162636,0.31615,None
1945100,52.614922,-27.399656,0.66526,None
1945116,54.095974,-28.71995,0.54525,None
1946246,53.033478,-28.376627,0.84007,None
1946322,54.696533,-29.998207,0.59098,None
1948209,52.552559,-28.832602,0.37996,None
1948295,54.696991,-29.77701,0.78386,None
1948484,35.975361,-3.851214,0.34545,None
1950024,53.027458,-27.99861,1.02,None
1950043,54.209644,-27.262026,0.68891,None
1959025,54.472778,-28.942347,0.61194,None
1968046,54.753372,-26.418161,0.27302,None
