SNID,RA,DEC,zHEL,TYPE
19990,34.8064,-0.3848,0.24988,None
120585,35.7735,-3.6103,0.25,None
3199,333.293,1.0505,0.2511,None
16106,332.089,-1.1488,0.2512,None
15868,38.0998,-0.7136,0.25072,None
520077,244.663,55.6842,0.25,None
390449,242.951,54.4558,0.25,None
13689,4.0161,0.8076,0.25177,None
5717,17.896,-0.0059,0.2517,None
500004,213.023,51.6739,0.25,None
16213,8.9711,0.2584,0.2522,None
17552,322.321,-1.0032,0.25329,None
310161,352.966,-0.6604,0.254,None
9032,337.885,-0.4936,0.254,None
000034,36.0664,-3.1865,0.2542,None
17464,6.6408,0.042,0.2549,None
5736,22.8627,-0.6316,0.2552,None
1336480,41.7246,-1.1646,0.25695,None
1112,339.018,-0.3752,0.25761,None
17340,41.2121,0.3648,0.25717,None
9457,335.814,0.253,0.25823,None
19207,333.464,-0.9203,0.2587,None
18325,8.9057,0.37,0.25866,None
8046,39.1168,0.5113,0.25857,None
6108,1.8066,0.349,0.2595,None
550041,352.54,-0.8664,0.26,None
1297026,35.821,-5.1821,0.25956,None
1303883,8.8633,-44.9171,0.26,None
1289664,40.8968,-1.1299,0.26,None
1335694,42.845,-0.6485,0.26,None
12972,7.9586,-0.383,0.2608,None
1330426,53.9704,-28.6924,0.26,None
020176,211.862,53.3429,0.26,None
370498,186.266,46.8062,0.26,None
15440,39.7207,0.0901,0.26226,None
1337649,43.4044,0.5102,0.26238,None
2017,328.943,0.5935,0.26309,None
19702,47.7548,0.3568,0.2624,None
1253,323.799,0.1631,0.26307,None
13655,39.0202,-0.9942,0.2627,None
18945,10.0784,-1.0374,0.2633,None
13956,20.9418,0.8167,0.2642,None
520019,241.861,54.4578,0.263,None
04D3ez,214.783,53.072,0.263,None
350235,184.35,48.3462,0.263,None
330022,35.3241,-2.9491,0.2649,None
12983,16.4588,0.1448,0.26531,None
2943,17.7049,1.0079,0.2654,None
110478,53.5803,-27.5689,0.2651,None
13099,359.819,-1.2504,0.26602,None
2422,1.9945,0.6382,0.2672,None
6315,310.483,1.092,0.267,None
