Name,RA,DEC,redshift,TYPE
2019hax,244.805053,34.16525,0.06017847,None
2019gyz,152.142839,55.516245,0.07285822,None
2019ifp,351.798926,-10.070364,0.08838198,None
ZTF19aazppeu,41.361303,45.971974,0.03741922,None
ZTF19abanlgl,201.515917,-9.571833,0.1099607,None
ZTF19abcgdoz,220.077192,26.334722,0.15351861,None
ZTF19abciuew,275.614188,51.099272,0.17649019,None
2019jwp,189.274308,41.691962,0.04867137,None
2019kvn,215.138195,25.342748,0.07877158,None
2019kvl,247.505392,36.964699,0.09772328,None
2019ldl,184.818305,4.976171,0.11562526,None
2019kgw,329.953998,-27.151268,0.09188948,None
2019hgv,12.279282,-13.767353,0.02678112,None
2019hzv,31.483337,18.445011,0.02754906,None
ZTF19abdlqbu,194.953925,41.271341,0.12718377,None
ZTF19abdogun,273.76359,49.955813,0.17690657,None
ZTF19abdqapq,340.739706,29.606441,0.10975614,None
2019lfh,342.770195,5.429509,0.06584227,None
2019lkt,247.231539,70.033035,0.06871836,None
2019lrr,249.902914,10.077713,0.13636103,None
2019mav,342.07131,-2.818667,0.07295247,None
2019mcb,308.106071,0.63716,0.09356066,None
2019mbe,4.666553,-15.801927,0.07359754,None
2019mtf,0.046989,-22.111585,0.16939327,None
2018cgf,354.290413,26.259604,0.02747209,None
2019mbn,359.533185,17.76773,0.078459,None
ZTF19abkdsce,13.12011,-11.66084,0.10299704,None
2019mse,3.839012,46.735732,0.087964,None
2019mon,353.397396,-15.647175,0.07804817,None
2019njx,288.784321,42.062023,0.05797344,None
2019mym,267.023252,15.708048,0.06547121,None
2019nql,264.455536,57.780434,0.1078739,None
2019nwl,8.388406,21.785646,0.08336672,None
2019mda,64.543565,-4.411282,0.0551203,None
ZTF19abptrnn,41.071964,26.112787,0.04763295,None
2019ntb,273.371472,2.461571,0.05312208,None
2019olx,272.688135,11.088819,0.07636281,None
2019oly,273.981087,27.608468,0.08750058,None
2019msc,81.748963,-3.90194,0.03508427,None
ZTF19abqxzok,54.575341,41.294268,0.02005387,None
2019oyg,4.786999,4.981952,0.15387286,None
2019ozu,291.750435,47.934847,0.08174678,None
2019pka,338.812464,7.007936,0.10838219,None
2019pmo,110.157173,52.773275,0.06518226,None
2019psk,73.608696,10.113878,0.0780578,None
2019pyd,31.511922,30.607578,0.08211893,None
ZTF19abyfbqn,261.5239,27.29419,0.10843738,None
2019pxe,30.471085,30.733582,0.10904248,None
2019qxs,96.103584,53.925287,0.03945396,None
2019qhm,24.027678,-7.757089,0.11327023,None
2019qwi,354.725359,38.194111,0.05013841,None
ZTF19abzutid,345.572583,15.941,0.12241966,None
ZTF19abzysvw,35.912542,42.885972,0.1746197,None
2019qpn,71.861757,-4.014044,0.07645205,None
2019qpr,121.726489,39.006681,0.06665703,None
ZTF19acazpyz,30.446683,-1.340978,0.03819875,None
ZTF19acbjqcf,354.206829,12.847274,0.14486443,None
2019rnm,64.569872,-0.131125,0.07516533,None
2019rmb,128.361894,30.804074,0.07864683,None
2019rqb,282.624382,80.18649,0.05514173,None
2018fqc,80.188323,-23.067978,0.08440363,None
2019rrc,232.933664,61.833139,0.0732404,None
ZTF19acclupd,240.65393,2.960549,0.03162072,None
2019sck,60.189448,-7.038483,0.06552565,None
2019shu,84.054879,-3.342177,0.05712285,None
2019scw,134.938333,38.859545,0.09575667,None
ZTF19acdlaer,155.654422,8.377744,0.04422992,None
2019sqj,27.951117,21.295543,0.0690279,None
2019sqk,274.636841,59.958386,0.09503661,None
2019suj,342.964283,23.538885,0.10198116,None
2019suc,36.944664,-3.802122,0.069902,None
2019sxm,172.648884,68.680845,0.05413744,None
2019syj,316.596754,-8.682837,0.0829207,None
ZTF19acgldqr,5.61754,-4.836362,0.03910873,None
ZTF19acgpnlk,168.151894,15.216812,0.03312023,None
2019tht,30.314801,3.906345,0.08192532,None
2019tiq,57.583477,30.03502,0.0582386,None
2019syw,26.868895,-17.786516,0.0911712,None
ZTF19achtiax,177.744062,22.078124,0.0248978,None
2019tmq,305.294952,2.808004,0.04575477,None
2019ubh,75.772149,7.862262,0.03724916,None
2019tzv,320.853375,-17.720127,0.05795276,None
2019tup,9.013941,-1.373257,0.12965753,None
2019tns,29.769943,-17.307357,0.0915267,None
ZTF19ackjsbp,180.746721,3.396394,0.08672007,None
2019tue,142.975389,-5.032621,0.08337802,None
2019aaby,108.702413,53.718105,0.06219908,None
2019uze,29.783045,16.10123,0.07983326,None
ZTF19acslqnc,76.506503,51.821723,0.03123494,None
2019vbe,275.205455,38.014967,0.02195631,None
2019vuv,108.339004,60.867244,0.07938002,None
2019vmh,352.059571,-16.561988,0.11507046,None
2019wce,134.865645,35.005044,0.06246068,None
2019wew,141.642869,-1.650282,0.07192684,None
ZTF19acykzsp,28.359125,31.801,0.15887836,None
2019xug,346.801602,25.607317,0.06118034,None
2019yzx,142.672097,21.45591,0.07264285,None
2020ac,149.229732,15.70252,0.07670517,None
2020E,338.942774,44.882328,0.0635965,None
ZTF20aaazhtk,236.826743,-16.477699,0.03167525,None
2020kq,256.515325,70.775314,0.05076455,None
2020bj,254.605677,68.232492,0.05157024,None
2019xuj,126.42896,-17.221008,0.07576684,None
ZTF20aaccmjn,167.005916,55.871965,0.04743077,None
2020dd,251.218761,42.982267,0.05846544,None
ZTF20aacdhlf,246.649208,39.629694,0.10927161,None
2020hz,82.793745,1.719148,0.04879616,None
2020zk,102.794818,65.59293,0.09351325,None
2020uo,109.711759,53.571825,0.10392104,None
ZTF20aaervyn,225.364375,20.623194,0.1150142,None
2020py,210.226113,45.472662,0.05318272,None
ZTF20aaeswym,19.842348,62.334033,0.013503,None
2020ti,75.852638,5.403371,0.06589751,None
ZTF20aafanxk,83.900208,11.770917,0.09929972,None
2020xr,97.092377,21.646678,0.02976719,None
2020abu,157.705069,19.725483,0.08822102,None
ZTF20aaftsqt,189.929879,30.201189,0.11231891,None
2020agd,10.588536,29.685911,0.06828498,None
2020apm,82.460414,77.902061,0.12016209,None
2020ahn,122.556193,7.621587,0.16052416,None
ZTF20aagzdjp,20.30199,23.423766,0.10801661,None
2020axo,172.000121,16.607363,0.07968229,None
2020arm,1.638007,3.268719,0.04458533,None
2020bds,10.189578,8.991043,0.06618796,None
2020bdq,125.471896,-23.482601,0.04286931,None
2020bbb,48.236611,-11.628775,0.06266324,None
ZTF20aahujpd,78.489148,22.333941,0.05309014,None
2020bec,179.992742,4.921838,0.07327999,None
2020akj,212.334076,-12.468532,0.06562739,None
2020blz,85.61622,-21.277628,0.102598,None
2020btv,130.303212,68.707043,0.06027375,None
ZTF20aakrgsq,187.836001,39.977477,0.13314746,None
2020bqm,10.289725,16.461543,0.01816292,None
ZTF20aamvoeh,33.502,38.936306,0.14384622,None
2020cxe,302.411352,62.558552,0.05333029,None
ZTF20aankixb,237.463694,34.520539,0.11852539,None
2020cxo,135.531149,12.361675,0.0804855,None
ZTF20aappghw,231.983256,7.664613,0.04437283,None
2020dsn,281.968686,60.686508,0.06859202,None
2020duf,52.904786,40.108805,0.05170465,None
2020exz,178.937927,46.478659,0.07110941,None
2020exu,184.206694,51.299415,0.071256,None
2020fkg,173.899513,43.019151,0.07185643,None
2020eyf,196.516449,24.055036,0.068697,None
2020fhk,245.023995,61.790307,0.07801033,None
2020hec,262.201528,28.754125,0.08042099,None
2020gkp,255.135785,36.626282,0.0847179,None
2020hbe,187.147402,-4.069443,0.05679653,None
2020hhh,224.565853,33.114236,0.09901771,None
2020hwt,282.579471,61.530465,0.09406657,None
2020iab,290.39227,46.962325,0.08576167,None
2020ipb,163.147185,25.118055,0.05173276,None
ZTF20aaznlnj,251.127266,52.811706,0.07677914,None
ZTF20aazomcu,3.874444,17.324251,0.01806561,None
ZTF20abbarut,16.444151,34.990272,0.04027453,None
2020lvt,176.690395,14.822684,0.06429426,None
2020lwl,209.562027,23.611531,0.06751794,None
ZTF20abegjom,35.631735,47.850009,0.01689836,None
2020mpu,256.950141,51.756441,0.15739886,None
2020nia,226.92268,32.009569,0.08613588,None
2020naz,347.127614,46.166122,0.08539436,None
2020oqy,309.440981,69.918958,0.13378936,None
ZTF20abhcean,254.063083,41.567256,0.14641158,None
ZTF20abhjesj,49.94405,41.512627,0.01755548,None
2020nus,43.993015,38.110821,0.05778016,None
2020nqw,227.946972,36.770877,0.04461506,None
ZTF20abixumi,250.182626,40.41447,0.02588378,None
2020nxh,273.327326,42.251588,0.05232818,None
2020nze,48.10632,19.252913,0.03464482,None
2020dhg,225.333116,15.757499,0.11839978,None
ZTF20abjwtgr,267.940562,43.569003,0.12922173,None
2020lyt,306.225322,-21.689937,0.03739495,None
2020ppd,338.928787,-16.596919,0.07217674,None
2020pre,355.348623,34.506599,0.0643268,None
2020qiz,76.815298,65.552057,0.06621913,None
ZTF20abnbpxq,68.826839,17.195703,0.02502064,None
ZTF20abnngbz,37.978416,3.1256,0.03210395,None
2020qrm,21.915299,17.657551,0.07148312,None
ZTF20abpxtaz,14.052996,-0.596684,0.09852597,None
2020rlz,7.117855,48.858753,0.06090509,None
2020reo,245.235643,35.127409,0.14455581,None
2020qxr,271.352093,24.484334,0.07103501,None
2020ram,356.137161,27.822087,0.05733816,None
2020rod,326.960925,-11.867871,0.08426646,None
ZTF20absitlr,53.637136,-4.810504,0.02043063,None
2020rov,59.925313,26.589594,0.06642422,None
2020rwf,52.068329,36.799547,0.07921154,None
2020rnf,66.036165,11.961586,0.05435929,None
ZTF20abvxcao,345.183793,1.273725,0.15662311,None
ZTF20abvxdio,338.122228,-4.290969,0.19234899,None
2020sww,20.980232,-4.915217,0.05419969,None
2020scd,311.299644,69.408877,0.04362663,None
ZTF20abxawtv,123.525788,40.267625,0.06696761,None
ZTF20abxkwca,125.132445,56.475698,0.02779677,None
2020sid,252.297229,21.796532,0.05768592,None
2020sgc,280.935663,66.796397,0.08154947,None
2020sgh,276.545571,34.437552,0.07895764,None
2020spd,12.16883,41.655279,0.10537359,None
2020svi,7.632705,33.207728,0.08028671,None
ZTF20abyyzyd,213.77119,40.232527,0.06727717,None
