CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
2011fe,51,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,9.74571,1.51621,28.9987,1.51645,29.177,1,0,-0.1076,0.04008,-0.548188,0.13373,9.58436,0.0327221,2.63181,0.0793177,0.00011378,-0.00052525,-0.00272765,210.774,54.2737,-999,-999,-9.0,0.0,250,0.00758935,10.677,-9.0,55815.0,0.1071,36,26.8859,0.86447,0.0991,1.496,0.0381,0.005,1.0,0.003,Ia,,2011fe,210.77531071,54.27578815,,0.0075801605917513,7.02760380445341,-1.237141180888628,-8.107069142969165,2.3810333130194836,0.7264823091954358,,,,,
2011fe,56,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,9.80286,1.51723,29.0559,1.51747,29.177,1,0,-0.032895,0.038463,-0.380481,0.0861,9.78448,0.0352442,2.1888,0.0710511,-0.000443845,-0.00150198,-0.00220084,210.774,54.2737,-999,-999,-9.0,0.0,250,0.00758935,10.677,0.0,55815.2,0.0579,101,88.3064,0.81222,0.0971,1.496,-0.0252,0.003,1.0,0.004,Ia,,2011fe,210.77531071,54.27578815,,0.0075801605917513,7.02760380445341,-1.237141180888628,-8.107069142969165,2.3810333130194836,0.7264823091954358,,,,,
2012cg,51,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,11.4703,0.781906,30.7233,0.782372,30.8433,1,0,0.10073,0.018231,0.49196,0.023545,11.8161,0.0237119,0.33695,0.00735879,-6.06025e-05,9.35054e-06,-0.000110842,186.803,9.4203,-999,-999,-9.0,0.0,250,0.0177724,9.633,0.002,56082.4,0.0278,165,233.5,0.000358347,0.0399,0.7134,0.0545,0.019,1.0,0.036,Ia,,2012cg,186.7987,9.4203,0.001458,0.0178090132027864,8.863531993473794,-1.639512925875171,-10.514227795163553,7.284676899348758,0.5770516833233968,8.840373047410209,-1.8129033309317395,-10.634428575071803,7.05431286021675,0.5808074677065282
2012cg,56,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,11.4919,0.798612,30.7449,0.799068,30.8433,1,0,0.12247,0.03903,0.71261,0.083554,11.8801,0.0359611,0.31765,0.0105211,0.000222656,-0.000136637,-0.000344022,186.803,9.4203,-999,-999,-9.0,0.0,250,0.0177724,9.633,0.004,56082.4,0.0667,55,100.122,0.000193186,0.0931,0.7134,0.0622,0.028,1.0,0.04,Ia,,2012cg,186.7987,9.4203,0.001458,0.0178090132027864,8.863531993473794,-1.639512925875171,-10.514227795163553,7.284676899348758,0.5770516833233968,8.840373047410209,-1.8129033309317395,-10.634428575071803,7.05431286021675,0.5808074677065282
1981B,50,0.00317,0.00084,0.0035,1e-05,0.00236,1e-05,11.5416,0.613941,30.7946,0.614535,30.8338,1,0,-0.005137,0.03061,-0.445048,0.16526,11.6644,0.0335715,0.38748,0.0119811,0.000163537,-0.000145198,-0.000305876,188.623,2.1998,-999,-999,-9.0,97.8762,250,0.0157149,9.686,-9.0,44672.6,0.2973,41,43.226,0.37642,0.0732,0.5763,0.0206,0.007,1.0,0.013,Ia,,1981B,188.6128,2.1879,0.006031,0.0157037668302655,,,,,,10.706273946504716,-0.2465605527953213,-10.955457158228002,9.784114202247904,0.5631810697479265
2013aa,56,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,11.2074,0.59407,30.4604,0.594683,30.5454,1,0,-0.104394,0.054067,0.51292,0.15225,10.8911,0.10563,0.78986,0.0768433,0.00167787,-0.00136015,-0.00311121,218.141,-44.2244,-999,-999,-9.0,440.866,250,0.14605,10.53,0.0,56343.8,0.158,31,27.5263,0.6455,0.1104,0.5586,0.0298,0.003,1.0,0.003,Ia,,2013aa,218.1696,-44.1745,0.003999,0.1450891718268394,,,,,,,,,,
2013aa,5,0.00331,0.00085,0.00478,0.00015,0.00411,0.00015,11.2998,0.579622,30.5528,0.580251,30.5454,1,0,-0.157707,0.03608,0.63346,0.13866,10.8438,0.10031,0.82505,0.0762215,0.000245825,-3.60292e-06,-0.00231699,218.141,-44.2244,-999,-999,-9.0,440.866,250,0.14605,10.53,-9.0,56348.8,0.119,56,35.0505,0.98728,0.062,0.5586,0.0727,0.007,1.0,0.003,Ia,,2013aa,218.1696,-44.1745,0.003999,0.1450891718268394,,,,,,,,,,
2001el,50,0.00333,0.00084,0.00357,1e-05,0.00379,1e-05,12.2481,0.590389,31.5011,0.591006,31.2859,1,0,0.074105,0.025318,-0.131083,0.026693,12.4717,0.0305106,0.18422,0.00517671,-0.000115412,1.38906e-05,-0.000102774,56.1275,-44.6398,-999,-999,-9.0,71.5597,250,0.012219,11.28,-9.0,52183.0,0.0329,97,493.823,0.0,0.0584,0.5487,-0.0773,0.005,1.0,0.015,Ia,,2001el,56.1343,-44.6437,,0.0121961991861462,9.609706511889511,-1.1706167485166037,-10.792977563847296,8.209970353614615,0.5830269951789651,,,,,
2011by,51,0.00349,0.00084,0.00369,2e-05,0.00313,2e-05,12.5403,0.55206,31.7933,0.55272,31.6336,1,0,0.011283,0.018909,-0.334036,0.044392,12.627,0.0234355,0.15967,0.00344642,-3.73833e-05,-2.98895e-05,-5.50824e-05,178.94,55.3256,-999,-999,-9.0,61.7743,250,0.0120014,10.417,0.002,55690.9,0.0344,79,85.1227,0.29882,0.0423,0.5236,-0.0499,0.003,1.0,0.007,Ia,,2011by,178.9378,55.3207,0.002853319,0.0119869430735707,9.122300842595532,-1.3905244643374293,-10.511485266085332,8.84297318073961,0.5767660993538,8.897624384222663,-1.3148382140783208,-10.232518092894717,7.745348653748445,0.5788686636186127
2021pit,56,0.00384,0.00084,0.00366,1e-05,0.00388,1e-05,11.7469,0.565861,30.9999,0.566505,31.2859,1,0,0.072389,0.042032,-0.042209,0.12206,12.0868,0.0383302,0.2626,0.00927071,0.000746058,-0.000415684,-0.000321434,56.1257,-44.6325,-999,-999,-9.0,-55.3501,250,0.012255,-9.0,-9.0,59385.6,0.0847,27,17.907,0.90634,0.1015,0.4759,0.0574,0.013,1.0,0.03,SN Ia,,2021pit,56.1343,-44.6437,,0.0121961991861462,,,,,,10.223630606832195,-0.140624712001973,-10.34195712584736,8.169458591606091,0.5915583389318742
