Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted
0,ZTF17aadlxmv,0.06201943,1.281e-05,z_gal,58878.08527692311,0.001125616,0.4599662001239373,0.062073539,0.2192797805473674,3.6800816899900616e-05,0.1385185754747672,0.030692724,-1.02e-06,-0.020520443,0.000941995,-2.35e-07,-9.77e-07,-0.000137686,0.033334651,3.1,0,0.178353087,127.448018,33.906536,snia-cosmo,norm,1.0,1.0,2020adv,100.0
12,ZTF18aabsyqp,0.07667208,1.332e-05,z_gal,58183.60938210772,0.001131708,-1.23112522,-0.093517498,0.2829535675191437,7.795595778390535e-05,0.1155903015682342,0.05812476,-1.2e-05,-0.011949311,0.010194994,-9.59e-07,-4.38e-06,0.000124288,0.022616379,3.1,0,0.021318756,162.818489,22.477574,snia-cosmo,norm,1.0,1.0,2018aey,100.0
13,ZTF18aabtaor,0.07968253,1.037e-05,z_gal,58188.99620672599,0.000913881,0.2682808891737634,-0.128799152,0.3063527892809361,4.446317537511234e-05,0.2262749855095245,0.044197193,-1.05e-06,-0.053452983,0.005068227,-2.01e-06,-1.72e-06,-0.001440991,0.017656693,3.1,0,0.1465551936241862,172.095339,44.748985,snia-cosmo,norm,1.0,1.0,2018aic,100.0
15,ZTF18aabtwqb,0.06692991,0.00310846,z_snid,58189.84396430357,0.001408785,0.2653482393990167,-0.118731053,0.394937814,8.371687366804986e-05,0.270372609,0.048423863,-5.56e-06,-0.0712303,0.006591349,-5.99e-06,-3.52e-06,-0.001093362,0.047076006,3.1,0,0.01012408,112.585958,18.190678,snia-cosmo,norm,1.0,1.0,2018abj,100.0
26,ZTF18aagrtxs,0.02974109,1.121e-05,z_gal,58213.15026791291,0.005583245,-0.711099829,-0.148608617,0.04138177,0.000170287,0.037109825,0.028008571,2.0735687235291903e-06,-0.000202864,-0.000397335,3.193792142581116e-09,-4.14e-06,-0.000116982,0.009839961,3.1,0,1.3033276997073706e-06,198.606075,50.977709,snia-cosmo,norm,1.0,1.0,2018amo,100.0
27,ZTF18aagstdc,0.04036722,0.00388973,z_snid,58214.47844466911,0.004135292,-0.047931292,-0.09761537,0.035814634,0.000125131,0.049832167,0.027517499,1.292591464730712e-06,-0.000336499,-0.000322083,-1.3e-07,-2.99e-06,-0.000123579,0.01723592,3.1,0,0.099247432,237.514822,42.088482,snia-cosmo,norm,1.0,1.0,2018apn,100.0
28,ZTF18aagtcxj,0.03235875,1.75e-05,z_gal,58213.95033146832,0.001038971,-1.883614052,0.4128866070449392,0.04356523,3.4237437996748575e-05,0.046483656,0.029781786,5.297338667171864e-07,-0.000167228,-0.000507592,-5.62e-08,-9.04e-07,-6.11e-05,0.010263233,3.1,0,0.2691278535355169,248.048142,42.713406,snia-cosmo,norm,1.0,1.0,2018aqm,99.75786924939467
32,ZTF18aahfbqp,0.04114499,1.344e-05,z_gal,59208.83655494514,0.003086657,-1.969448826,-0.112339892,0.2042670864066167,0.000170895,0.2787684381615879,0.056368413,-7.93e-07,0.001220338,0.000746747,-2.55e-05,-7.39e-06,0.003757871,0.019828617,3.1,0,0.6495781866120017,156.678658,21.724132,snia-cosmo,norm,1.0,1.0,2020acua,100.0
33,ZTF18aahfeiy,0.07123715,1.295e-05,z_gal,58214.52018798944,0.000936119,1.2857740959956043,0.006734756,0.1748666483654233,3.47661819769778e-05,0.1524123712793775,0.033050177,9.461035453809652e-07,-0.008211185,-0.00131973,-2.15e-06,-1.01e-06,0.00140272,0.00986686,3.1,0,0.987730216,154.31483,43.523469,snia-cosmo,norm,1.0,1.0,2018loy,100.0
34,ZTF18aahfgsk,0.053865,1.313e-05,z_gal,58215.52664059572,0.001643723,0.3158562223135606,-0.108170333,0.1346104073636524,6.24237018180564e-05,0.1080102821011784,0.031677719,-9.88e-07,-0.002238194,0.00014155,-2.94e-06,-1.74e-06,0.000971588,0.02655248,3.1,0,0.1482773888744763,181.242959,32.391378,snia-cosmo,norm,1.0,1.0,2018aqk,100.0
