ztf_ztfname,ztf_redshift,ztf_redshift_err,ztf_source,ztf_t0,ztf_x0,ztf_x1,ztf_c,ztf_t0_err,ztf_x0_err,ztf_x1_err,ztf_c_err,ztf_cov_t0_x0,ztf_cov_t0_x1,ztf_cov_t0_c,ztf_cov_x0_x1,ztf_cov_x0_c,ztf_cov_x1_c,ztf_mwebv,ztf_mwr_v,ztf_mwebv_err,ztf_fitprob,ztf_ra,ztf_dec,ztf_sn_type,ztf_sub_type,ztf_lccoverage_flag,ztf_fitquality_flag,ztf_iau_name,ztf_frac_fitted,mosthost_sn_name_sp,mosthost_hostnum,mosthost_ra,mosthost_dec,mosthost_origin,mosthost_sn_type,mosthost_sn_z,mosthost_sn_ra,mosthost_sn_dec,mosthost_sn_name,mosthost_sn_name_ptf,mosthost_sn_name_iau,mosthost_sn_name_tns,mosthost_program,mosthost_ls_id_dr9,mosthost_dec_dr9,mosthost_ra_dr9,mosthost_ref_id_dr9,mosthost_brickid_dr9,mosthost_ref_cat_dr9,mosthost_type_dr9,mosthost_dist_arcsec_dr9,mosthost_sep_in_radius_dr9,mosthost_sep_in_radius_sigma_dr9,mosthost_fiberflux_g_dr9,mosthost_fiberflux_r_dr9,mosthost_fiberflux_z_dr9,mosthost_fibertotflux_g_dr9,mosthost_fibertotflux_r_dr9,mosthost_fibertotflux_z_dr9,mosthost_dchisq_1_dr9,mosthost_dchisq_2_dr9,mosthost_dchisq_3_dr9,mosthost_dchisq_4_dr9,mosthost_dchisq_5_dr9,mosthost_ra_ivar_dr9,mosthost_dec_ivar_dr9,mosthost_dered_flux_g_dr9,mosthost_dered_flux_r_dr9,mosthost_dered_flux_w1_dr9,mosthost_dered_flux_w2_dr9,mosthost_dered_flux_w3_dr9,mosthost_dered_flux_w4_dr9,mosthost_dered_flux_z_dr9,mosthost_flux_ivar_g_dr9,mosthost_flux_ivar_r_dr9,mosthost_flux_ivar_w1_dr9,mosthost_flux_ivar_w2_dr9,mosthost_flux_ivar_w3_dr9,mosthost_flux_ivar_w4_dr9,mosthost_flux_ivar_z_dr9,mosthost_fracflux_g_dr9,mosthost_fracflux_r_dr9,mosthost_fracflux_w1_dr9,mosthost_fracflux_w2_dr9,mosthost_fracflux_w3_dr9,mosthost_fracflux_w4_dr9,mosthost_fracflux_z_dr9,mosthost_fracin_g_dr9,mosthost_fracin_r_dr9,mosthost_fracin_z_dr9,mosthost_fracmasked_g_dr9,mosthost_fracmasked_r_dr9,mosthost_fracmasked_z_dr9,mosthost_sga_id_sga,mosthost_sga_galaxy_sga,mosthost_galaxy_sga,mosthost_ra_sga,mosthost_dec_sga,mosthost_ra_leda_sga,mosthost_dec_leda_sga,mosthost_morphtype_sga,mosthost_pa_leda_sga,mosthost_d25_leda_sga,mosthost_ba_leda_sga,mosthost_z_leda_sga,mosthost_ref_sga,mosthost_group_id_sga,mosthost_group_name_sga,mosthost_group_ra_sga,mosthost_group_dec_sga,mosthost_group_diameter_sga,mosthost_d26_sga,mosthost_d26_ref_sga,DESI_TARGETID,LS_ID,DESI_SPECTYPE,DESI_RA,DESI_DEC,DESI_DESI_TARGET,DESI_Z,DESI_ZWARN,DESI_SURVEY
ZTF18aamlqqh,0.05718284,2.111e-05,z_gal,58242.68518283112,0.001289689,-1.372103544,-0.057531725,0.091401792,4.074394964170163e-05,0.093733999,0.029672779,1.276668704662323e-07,0.000801879,-0.000388953,-5.97e-07,-9.89e-07,-0.000232412,0.029255643,3.1,0,0.9573062011652238,266.986078,34.932642,snia-cosmo,norm,1.0,1.0,2018bcz,100.0,ZTF18aamlqqh,0,266.9860068,34.93271932830423,dr9,SN Ia,0.06,266.9860824,34.932643150000004,ZTF18aamlqqh,,,,ztf_superset,9907733417430154,34.93271932830423,266.9860068,0.0,520928.0,,REX,0.35344893,0.17030466,0.000566444,2.660996,4.888815,7.667316,2.660999,4.888821,7.667329,32013.152,69551.81,48790.02,69822.28,0.0,222694000000.0,227535000000.0,27.192596,48.343353,45.40389,28.76275,17.064827,-258.56827,73.586136,47.456234,12.109728,2.141107,0.776693,0.001298,1.8e-05,7.85528,1.763263,0.747972,1.214683,1.124995,1.986518,3.518608,0.547936,1.0,1.0,1.0,0.042154,0.039744,0.123837,,,,,,,,,,,,,,,,,,,,,3.9632982041955464e+16,9907733417430154.0,GALAXY,266.986006797673,34.93271932830423,5.764607523034235e+18,0.057181656143931746,0.0,main
ZTF18aaobguk,0.13031168,1.488e-05,z_gal,58239.371580511935,0.000274999,-0.073189984,-0.12672558,0.1172515258331259,8.812265373004709e-06,0.1636819076043378,0.03237273,-8.15e-08,0.005064901,-0.000150734,-3.35e-07,-2.36e-07,0.000229236,0.019598133,3.1,0,0.002093619,178.049316,51.360012,snia-cosmo,norm,1.0,1.0,,99.55947136563876,ZTF18aaobguk,0,178.0494471178955,51.36003912813876,dr9,no_type,-9999.0,178.0492847,51.359999650000006,ZTF18aaobguk,,,,ztf_superset,9907737874203020,51.36003912813876,178.0494471178955,0.0,588933.0,,EXP,0.39178264,0.20663184,0.000937419,2.429262,4.307862,6.140181,2.42953,4.30882,6.143094,31358.512,60722.15,61420.62,63105.047,63116.19,291869000000.0,235420000000.0,14.422529,25.018826,27.593065,14.074776,179.08731,-887.2677,34.95347,94.4285,32.70021,1.669022,0.624444,0.001532,2e-05,21.905626,0.557529,1.000807,4.508937,5.339038,0.555033,1.421623,1.894055,0.999762,0.999802,0.999431,0.003598,0.003039,0.003268,,,,,,,,,,,,,,,,,,,,,3.963326727559618e+16,9907737874203020.0,GALAXY,178.0494947125817,51.36530491874984,5.764607523034235e+18,0.2370214811468445,0.0,main
ZTF18aapqwyv,0.05600965,2.234e-05,z_gal,58244.195739801886,0.000695546,-1.842506567,0.096944596,0.088507171,2.237334346909156e-05,0.07025971,0.029960464,-2.48e-08,0.000659408,-0.000282243,-1.98e-07,-5.65e-07,-9.23e-05,0.03943227,3.1,0,1.927297067660621e-12,251.605415,25.42149,snia-cosmo,norm,1.0,0.0,2018bhc,99.32432432432432,ZTF18aapqwyv,0,251.6054197208668,25.42148755947841,dr9,SN Ia,0.056,251.6054098,25.4214949,ZTF18aapqwyv,,,,ztf_superset,9906630803528406,25.42148755947841,251.6054197208668,1.3003839883322565e+18,473591.0,G2,SER,0.041692138,0.028679758,3.4719527e-05,22.137295,47.89786,76.50248,22.16418,47.94851,76.58871,3018986.0,3427863.2,3606146.2,3428154.2,3631501.5,27723300000000.0,13836500000000.0,84.94337,175.82547,179.54277,105.570045,147.92285,134.54291,269.73932,166.6981,56.45807,1.266686,0.520877,0.000859,1.2e-05,18.991863,0.007315,0.006737,0.02368,0.03567,1.267083,7.204779,0.005965,1.0,1.0,1.0,0.00101,1.7e-05,2.3e-05,,,,,,,,,,,,,,,,,,,,,3.9628385449679576e+16,9906630803528406.0,GALAXY,251.60541972086682,25.421487559478415,1.152921504606847e+18,0.056007944498692744,0.0,main
ZTF18aaqcugm,0.06186272,1.609e-05,z_gal,58254.94739967508,0.001171,-0.954839382,-0.09263694,0.049550637,3.4538977468495766e-05,0.061071903,0.026733121,3.090843165313541e-07,2.414111038462264e-05,-0.000258439,1.6886481123067807e-08,-7.9e-07,-0.00019898,0.008074653,3.1,0,2.6556264215039475e-08,202.052996,53.916045,snia-cosmo,norm,1.0,0.0,2018bhi,100.0,ZTF18aaqcugm,0,202.05341643552973,53.91169966,dr9 and local_universe,SN Ia,0.06,202.0530217,53.91603715,ZTF18aaqcugm,,,,ztf_superset,9907738510688516,53.91169966,202.05341643552973,281555.0,598645.0,L3,SER,15.637399,4.31156,0.003544131,33.357986,73.13645,123.26574,33.357986,73.13645,123.26574,0.0,0.0,0.0,0.0,0.0,19652500000000.0,22193700000000.0,233.16365,506.60388,577.18774,338.7932,122.26195,370.51035,846.84955,14.963991,3.54407,0.524567,0.273918,0.001072,1.7e-05,2.967628,9.2e-05,0.000108,0.002364,0.004998,0.235735,1.642279,0.000102,0.992617,0.992731,0.991536,0.019057,0.018928,0.024176,281555.0,SGA-2020 281555,PGC2454413,202.05341643552973,53.91169966,202.053363,53.9117052,E,61.26,0.51760685,0.9036495,0.061833106,LEDA-20181114,102727.0,PGC2454413,202.053363,53.9117052,0.51760685,0.6348803,SB26,3.963330801067648e+16,9907738510688516.0,GALAXY,202.05341643552973,53.911699656589796,5.764607523034235e+18,0.061869710272807465,0.0,main
ZTF18aaqskoy,0.08608382,1.118e-05,z_gal,58255.06816909655,0.000827888,1.0675247771883958,-0.111923985,0.075821674,2.4523893306833272e-05,0.07175291,0.02862336,2.505742198554059e-07,-0.000792972,-0.000358985,-1.61e-08,-5.91e-07,-0.000276797,0.020519228,3.1,0,0.999883798,255.907767,36.429186,snia-cosmo,norm,1.0,1.0,2018bhv,100.0,ZTF18aaqskoy,1,255.9070527,36.42818617954353,dr9,SN Ia,0.085,255.9077569,36.42920835,ZTF18aaqskoy,,,,ztf_superset,9907733875395386,36.42818617954353,255.9070527,0.0,527916.0,,REX,4.20731,2.7964916,0.04028997,0.891505,1.173887,1.698335,0.895286,1.179043,1.701895,2414.2715,3910.7563,3343.1995,3913.4482,0.0,20983392000.0,21547776000.0,5.598804,7.204096,4.801627,1.481912,15.714119,1053.8364,10.206225,114.75653,30.354908,3.653194,1.100613,0.001316,1.8e-05,14.396904,0.584254,0.254384,9.244999,20.780048,6.173041,1.104467,0.431181,0.999991,0.999997,0.999971,0.081812,0.001166,0.006331,,,,,,,,,,,,,,,,,,,,,3.963301135175148e+16,9907733875395386.0,GALAXY,255.90705266262796,36.42818617954353,2594.0,0.08608419687419683,0.0,main
ZTF18aashtth,0.09350827,1.169e-05,z_gal,58259.51361502014,0.000367909,0.3118220801317242,0.04104184,0.1525471227942034,1.2153431102567724e-05,0.1534468732453927,0.031450726,3.21877036829273e-07,-0.010988158,-0.000667474,-5.34e-07,-3.19e-07,0.000537459,0.048177479,3.1,0,0.8544433063145542,266.672511,27.589696,snia,,1.0,1.0,2018cjw,99.01960784313724,ZTF18aashtth,0,266.6727394593853,27.58955721270909,dr9,no_type,-9999.0,266.6725058,27.5896906,ZTF18aashtth,,,,ztf_superset,9906631483721120,27.58955721270909,266.6727394593853,0.0,483970.0,,EXP,0.8867812,0.40396008,0.000804515,4.941965,7.534658,11.147267,4.941965,7.534658,11.147267,108104.4,193033.56,181591.38,209491.89,209506.45,697935000000.0,1598520000000.0,37.80569,54.602367,43.530598,25.81662,122.09154,80.32092,76.901665,158.35883,47.260418,2.09369,0.754127,0.001139,1.5e-05,6.701559,0.007986,0.764515,1.214047,1.287054,0.34568,6.840045,0.033458,0.994786,0.748238,0.599966,0.063056,0.22046,0.002655,,,,,,,,,,,,,,,,,,,,,3.962842898235536e+16,9906631483721120.0,GALAXY,266.67273945938535,27.589557212709092,1.152921504606847e+18,0.09350572454734425,0.0,main
ZTF18aavniyw,0.05500796,3.428e-05,z_gal,58266.713582722914,0.000633579,-2.72832672,0.1024265903109367,0.144762005,2.9202827419413675e-05,0.2020517020354608,0.040105685,-1.63e-06,0.006014846,0.002150396,-2.74e-06,-1.04e-06,0.002632816,0.011219926,3.1,0,0.6042753242478028,172.875167,51.62938,snia-cosmo,norm,1.0,1.0,2018ceb,100.0,ZTF18aavniyw,0,172.87614719075108,51.62897244159037,dr9,SNIa,0.055,172.87506169999995,51.62938079999999,ZTF18aavniyw,,,,ZTFmarshal,9907737991251036,51.62897244159037,172.87614719075108,8.384902860577554e+17,590719.0,G2,SER,2.836438,2.36888,0.003009181,33.080482,72.4601,125.79135,33.080482,72.4601,125.79135,2002857.4,2455238.0,2587277.2,2518782.8,2588242.2,125733260000000.0,36560000000000.0,100.22203,216.78027,311.30554,201.72041,672.9042,2309.9192,372.04584,24.733599,11.469419,0.978155,0.441633,0.001195,1.5e-05,13.734594,0.000371,3e-06,0.002753,0.007801,16.652407,39.479797,3e-06,0.666873,0.999835,0.799848,0.000708,0.000511,0.011814,,,,,,,,,,,,,,,,,,,,,3.963327476662384e+16,9907737991251036.0,GALAXY,172.87614719075108,51.62897244159037,5.764607523034235e+18,0.054992198893857785,0.0,main
ZTF18aawxlxf,0.08233271,2.454e-05,z_gal,58276.51438765419,0.000677047,0.4143113595270788,-0.063480736,0.168346221,2.0762706730079964e-05,0.2302679450620559,0.029243186,-2.45e-07,0.009488301,1.9100055331030465e-05,-8.34e-07,-5.02e-07,0.000491513,0.006359814,3.1,0,0.4593932731541726,165.570647,58.233961,snia-cosmo,norm,1.0,1.0,2018cea,100.0,ZTF18aawxlxf,0,165.5738795742976,58.23557796073785,dr9 and local_universe,SN Ia,0.08213,165.5706269,58.2340127,ZTF18aawxlxf,,,,ztf_superset,9907739403224848,58.23557796073785,165.5738795742976,1259736.0,612264.0,L3,DEV,8.351866,0.55532265,0.000136362,8.36264,18.030462,29.737997,8.36264,18.030462,29.737997,0.0,0.0,0.0,0.0,0.0,2751580000000.0,2300200000000.0,231.47919,495.5444,639.7721,392.56207,389.14102,-1431.0563,812.0348,4.408018,1.334491,0.215802,0.088731,0.000194,4e-06,0.560127,0.014658,0.013007,0.100081,0.109591,0.629943,2.169832,0.010656,0.544939,0.587917,0.74647,0.112509,0.107861,0.108352,1259736.0,SGA-2020 1259736,PGC2576196,165.5738795742976,58.23557796073785,165.57385500000004,58.23564150000001,Sc,30.02,0.459198,0.6280584,0.08213081,LEDA-20181114,463662.0,PGC2576196,165.57385500000004,58.23564150000001,0.459198,0.6884998,SB26,3.963336513290421e+16,9907739403224848.0,GALAXY,165.5738795742976,58.23557796073785,5.764607523034235e+18,0.0823484472995109,0.0,main
ZTF18aaxkjmm,0.07140776,1.416e-05,z_gal,58278.81819366849,0.000751015,1.008353047053039,0.1124634827342885,0.080204981,2.2265749710469315e-05,0.070372474,0.027347599,2.0102942253298785e-07,-0.001228557,-0.000319929,1.37766240402883e-07,-5.25e-07,-0.000351932,0.021705186,3.1,0,0.003690937,236.371299,35.855222,snia,,1.0,1.0,2018cng,100.0,ZTF18aaxkjmm,0,236.37116586692764,35.855274809861555,dr9,SN Ia,0.0661,236.3713424,35.8552098,ZTF18aaxkjmm,,,,ztf_superset,9907733642152872,35.855274809861555,236.37116586692764,0.0,524357.0,,SER,0.5656315,0.5884321,0.004492256,2.239098,4.843199,8.083246,2.239098,4.843199,8.083303,32943.55,40601.305,41467.137,41878.875,41925.387,342027000000.0,678463000000.0,6.185467,13.056928,24.549486,18.366795,74.52059,677.87366,21.313894,213.31865,83.54348,3.602534,1.086969,0.002761,3.3e-05,51.31922,-0.000905,0.000937,0.581464,0.71914,0.461098,1.177722,0.003756,0.749985,0.799989,0.999756,0.003328,0.003557,0.003605,,,,,,,,,,,,,,,,,,,,,3.9632996424223656e+16,9907733642152872.0,GALAXY,236.37116586692764,35.855274809861555,5.764607523034235e+18,0.07140718778527481,0.0,main
ZTF18aayivfs,0.11347575,1.947e-05,z_gal,58287.51424197358,0.00034687,-0.542029689,-0.100830348,0.3782103363373608,1.27668143130554e-05,0.5215442451445095,0.035693552,-3.78e-07,0.1754935396831949,0.002419665,-1.84e-06,-3.56e-07,0.004437558,0.018735507,3.1,0,0.6871709209128865,176.94575,40.798222,snia-cosmo,norm,1.0,1.0,,100.0,ZTF18aayivfs,1,176.94363880539308,40.79969143616048,dr9 and local_universe,no_type,-9999.0,176.94577180000005,40.798199200000006,ZTF18aayivfs,,,,ztf_superset,9907735115140384,40.79969143616048,176.94363880539308,906286.0,546833.0,L3,DEV,7.9150887,1.7634906,0.002485296,12.818869,27.693285,49.791183,12.81907,27.693552,49.791504,0.0,0.0,0.0,0.0,0.0,5838590000000.0,9383830000000.0,106.1977,224.62585,371.72153,297.4334,1025.8523,1677.1001,396.1767,38.559288,5.94951,0.569993,0.213012,0.000631,1.1e-05,3.605049,0.006704,0.003196,0.025603,0.016934,0.067569,0.373424,0.001675,0.946291,0.946496,0.943858,0.051522,0.051196,0.079238,906286.0,SGA-2020 906286,2MASXJ11474647+4047591,176.94363880539308,40.79969143616048,176.943657,40.79971389999999,SBb,172.47,0.3981072,0.86099374,0.11312459,LEDA-20181114,333088.0,2MASXJ11474647+4047591,176.943657,40.79971389999999,0.3981072,0.36939195,SB26,3.963309069540074e+16,9907735115140384.0,GALAXY,176.94363880539308,40.79969143616048,5.764607523034235e+18,0.11347581441327947,0.0,main
