Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,mu_obs,mu_theory,residual,residual_centered
0,ZTF17aadlxmv,0.06201943,1.281e-05,z_gal,58878.08527692311,0.001125616,0.4599662001239373,0.062073539,0.2192797805473674,3.6800816899900616e-05,0.1385185754747672,0.030692724,-1.02e-06,-0.020520443,0.000941995,-2.35e-07,-9.77e-07,-0.000137686,0.033334651,3.1,0,0.178353087,127.448018,33.906536,snia-cosmo,norm,1.0,1.0,2020adv,100.0,7.371524355692507,37.22101669985055,-29.849492344158044,-0.24940521974571084
1,ZTF18aaadqua,0.07867182,0.00280713,z_snid,58130.778798013016,0.00084501,4.999998733105365,-0.392734349,14.743977162303054,0.000103103,5.314307148,1.1361246203915862,-0.001295638,0.013517264,-0.49995326,-6.4e-08,-9.8e-05,4.774349098131618e-05,0.041783529,3.1,0,0.1279720412316219,26.798708,18.798611,snia-pec,03fg,0.0,0.0,2018lq,100.0,7.68284537875263,37.762768741074794,-30.079923362322162,-0.4798362379098293
2,ZTF18aaanzph,0.06371792,1.602e-05,z_gal,58138.01446139018,0.000275491,-1.224903205,0.567259712,8.873834685,0.000350413,0.5145994273567801,1.2625032625647157,0.0031616,2.231425493105065,-10.27231474,8.363189355405697e-05,-0.00039879,-0.279569472,0.016149347,3.1,0,0.5768952765578739,157.743465,23.788356,snia-cosmo,norm,0.0,0.0,2018kc,100.0,8.89973146130619,37.28229356247637,-28.38256210117018,1.2175250232421533
3,ZTF18aaapivw,0.02634147,0.00432782,z_snid,58152.87353,0.001008111,-4.999998317,0.6609680733538847,0.9717548145163164,0.000942529,2.279240776670842,0.5867684170605021,-2.14e-05,-4.37e-05,-0.0630554,1.1644334458250715e-09,-0.000626916,2.0026718920503803e-06,0.087684801,3.1,0,0.2490739134846925,102.563278,27.140073,snia-cosmo,norm,0.0,0.0,2018xi,100.0,7.491229116071847,35.30529289796023,-27.814063781888382,1.7860233425239507
4,ZTF18aaaqexr,0.07025791,2.194e-05,z_gal,58893.68792278293,0.000609715,-1.437246388,0.048228529,0.1709066789553617,2.0791246198910635e-05,0.2252383356556103,0.032271496,-5.34e-07,-0.003568825,4.7336166462844494e-05,-1.13e-06,-5.63e-07,0.001167888,0.03155948,3.1,0,0.038322498,175.776516,15.567129,snia,,1.0,1.0,2020chl,100.0,8.037182801205676,37.50444365590275,-29.467260854697074,0.13282626971525957
5,ZTF18aaasvcd,0.00910671,1.016e-05,z_gal,,,,,,,,,,,,,,,0.012340679,3.1,0,0.0,142.229652,49.238127,snia-cosmo,norm,0.0,0.0,2018pc,100.0,,32.970643683182544,,
6,ZTF18aabasml,0.04726883,1.308e-05,z_gal,58171.94225059728,0.000457987,4.999979792566421,1.008026309179062,0.8051991469001223,9.887422447450234e-05,7.109740674772212,0.1482685984601599,-2.68e-05,5.051952420120624e-05,0.018306732,-3.49e-08,-1.44e-05,5.8785652378544944e-05,0.010949589,3.1,0,0.9775997614882432,166.486441,37.625088,snia-cosmo,norm,0.0,0.0,2018tz,100.0,8.34786712326758,36.60833433560776,-28.260467212340178,1.3396199120721555
7,ZTF18aabdgik,0.02160394,1.242e-05,z_gal,58430.41847938639,0.010333476,-0.559623449,-0.399999979,0.4023501689880504,0.000317715,0.3360106435285712,1.5561573947182556,-1.45e-05,-0.087161492,-1.17e-06,-2.63e-05,-9.51e-09,-1.39e-06,0.048908176,3.1,0,0.4841749415051043,175.598841,10.264214,snia-cosmo,norm,0.0,0.0,2018hzg,100.0,4.964383912152578,34.86706151824593,-29.902677606093356,-0.30259048168102254
8,ZTF18aabqgnb,0.03609448,0.00320039,z_snid,58174.45632799804,0.001015418,2.262981035908818,0.546845722,0.4759342230718175,0.000322521,1.4969341672154832,0.1872305425002258,-0.000130316,0.6171959649434136,0.073973274,-0.000474483,-6.06e-05,0.2718646150588094,0.018314742,3.1,0,0.9987788073438428,178.189495,37.854296,snia-cosmo,norm,1.0,0.0,2018yc,100.0,7.483387855648934,36.00497383634278,-28.521585980693843,1.0785011437184906
9,ZTF18aabssme,0.04168907,1.023e-05,z_gal,58184.828820717805,0.002601589,-1.410702417,0.010829808,3.758744773829676,0.001101418,2.558823558390531,0.3280597315642612,-0.00026923,-8.072329433,0.3211260200989447,-0.001607982,-0.000368725,0.3463898257668328,0.034648476,3.1,0,0.5837131942086724,155.711512,14.05482,snia-cosmo,norm,0.0,0.0,2018aca,100.0,6.461903280899067,36.32677364238391,-29.864870361484847,-0.26478323707251405
10,ZTF18aabstmw,0.02308648,1.354e-05,z_gal,58190.750250680176,0.001255594,-1.527618912,0.3101535772163206,0.1031127189708058,6.827616505692812e-05,0.110239796,0.044589065,-1.16e-06,-0.006445485,0.001526092,-6.09e-07,-2.8e-06,-0.000677938,0.011196535,3.1,0,5.1108233978120045e-11,153.451129,38.763123,snia-pec,91bg,1.0,0.0,2018aaz,100.0,7.252876920732627,35.01359945290572,-27.760722532173098,1.8393645922392352
11,ZTF18aabsygo,0.0308917,1.174e-05,z_gal,58174.04809,0.003038614,-1.412822978,0.2081263339420561,1.1789257552518393,0.002475832,2.259089940304038,0.4785452801864851,-0.001032201,0.9286812012426584,0.1494385091821629,-0.005641402,-0.001267598,1.1559362289904658,0.033958315,3.1,0,0.8954795452544003,139.09223,10.231721,snia-cosmo,91t,0.0,0.0,2018xy,100.0,6.293311163848518,35.658643738862295,-29.365332575013777,0.23475454939855567
12,ZTF18aabsyqp,0.07667208,1.332e-05,z_gal,58183.60938210772,0.001131708,-1.23112522,-0.093517498,0.2829535675191437,7.795595778390535e-05,0.1155903015682342,0.05812476,-1.2e-05,-0.011949311,0.010194994,-9.59e-07,-4.38e-06,0.000124288,0.022616379,3.1,0,0.021318756,162.818489,22.477574,snia-cosmo,norm,1.0,1.0,2018aey,100.0,7.365664035226693,37.70385315411136,-30.338189118884664,-0.7381019944723306
13,ZTF18aabtaor,0.07968253,1.037e-05,z_gal,58188.99620672599,0.000913881,0.2682808891737634,-0.128799152,0.3063527892809361,4.446317537511234e-05,0.2262749855095245,0.044197193,-1.05e-06,-0.053452983,0.005068227,-2.01e-06,-1.72e-06,-0.001440991,0.017656693,3.1,0,0.1465551936241862,172.095339,44.748985,snia-cosmo,norm,1.0,1.0,2018aic,100.0,7.597775879396263,37.79200427369897,-30.19422839430271,-0.5941412698903754
14,ZTF18aabtiph,0.03597421,1.48e-05,z_gal,58178.67028134442,0.003541549,-2.37397875,-0.293111121,0.4026628470419382,0.000507067,0.1783517996036394,0.097264739,-0.00010578,0.025200475,0.015537451,-5.57e-05,-4.88e-05,0.010227651,0.018811278,3.1,0,0.1270714817704331,183.846314,27.626488,snia-cosmo,norm,1.0,0.0,2018yq,100.0,6.1270168625812484,35.997534249014954,-29.870517386433704,-0.270430262021371
